county_fips,G_rnd
1001,0
1003,0
1005,0
1007,0
1009,0
1011,0
1013,0
1015,0
1017,0
1019,0
1021,0
1023,0
1025,0
1027,0
1029,0
1031,0
1033,0
1035,0
1037,0
1039,0
1041,0
1043,0
1045,0
1047,0
1049,0
1051,0
1053,0
1055,0
1057,0
1059,0
1061,0
1063,0
1065,0
1067,0
1069,0
1071,0
1073,0
1075,0
1077,0
1079,0
1081,0
1083,0
1085,0
1087,0
1089,0
1091,0
1093,0
1095,0
1097,0
1099,0
1101,0
1103,0
1105,0
1107,0
1109,0
1111,0
1113,0
1115,0
1117,0
1119,0
1121,0
1123,0
1125,0
1127,0
1129,0
1131,0
1133,0
8001,0
8003,0
8005,0
8007,0
8009,0
8011,0
8013,0
8014,0
8015,0
8017,0
8019,0
8021,0
8023,0
8025,0
8027,0
8029,0
8031,0
8033,0
8035,0
8037,0
8039,0
8041,0
8043,0
8045,0
8047,0
8049,0
8051,0
8053,0
8055,0
8057,0
8059,0
8061,0
8063,0
8065,0
8067,0
8069,0
8071,0
8073,0
8075,0
8077,0
8079,0
8081,0
8083,0
8085,0
8087,0
8089,0
8091,0
8093,0
8095,0
8097,0
8099,0
8101,0
8103,0
8105,0
8107,0
8109,0
8111,0
8113,0
8115,0
8117,0
8119,0
8121,0
8123,0
8125,0
11001,0
12001,2012
12003,2012
12005,2012
12007,2012
12009,2012
12011,2012
12013,2012
12015,2012
12017,2012
12019,2012
12021,2012
12023,2012
12027,2012
12029,2012
12031,2012
12033,2012
12035,2012
12037,2012
12039,2012
12041,2012
12043,2012
12045,2012
12047,2012
12049,2012
12051,2012
12053,2012
12055,2012
12057,2012
12059,2012
12061,2012
12063,2012
12065,2012
12067,2012
12069,2012
12071,2012
12073,2012
12075,2012
12077,2012
12079,2012
12081,2012
12083,2012
12085,2012
12086,2012
12087,2012
12089,2012
12091,2012
12093,2012
12095,2012
12097,2012
12099,2012
12101,2012
12103,2012
12105,2012
12107,2012
12109,2012
12111,2012
12113,2012
12115,2012
12117,2012
12119,2012
12121,2012
12123,2012
12125,2012
12127,2012
12129,2012
12131,2012
12133,2012
13001,1998
13003,1998
13005,1998
13007,1998
13009,1998
13011,1998
13013,1998
13015,1998
13017,1998
13019,1998
13021,1998
13023,1998
13025,1998
13027,1998
13029,1998
13031,1998
13033,1998
13035,1998
13037,1998
13039,1998
13043,1998
13045,1998
13047,1998
13049,1998
13051,1998
13053,1998
13055,1998
13057,1998
13059,1998
13061,1998
13063,1998
13065,1998
13067,1998
13069,1998
13071,1998
13073,1998
13075,1998
13077,1998
13079,1998
13081,1998
13083,1998
13085,1998
13087,1998
13089,1998
13091,1998
13093,1998
13095,1998
13097,1998
13099,1998
13101,1998
13103,1998
13105,1998
13107,1998
13109,1998
13111,1998
13113,1998
13115,1998
13117,1998
13119,1998
13121,1998
13123,1998
13125,1998
13127,1998
13129,1998
13131,1998
13133,1998
13135,1998
13137,1998
13139,1998
13141,1998
13143,1998
13145,1998
13147,1998
13149,1998
13151,1998
13153,1998
13155,1998
13157,1998
13159,1998
13161,1998
13163,1998
13165,1998
13167,1998
13169,1998
13171,1998
13173,1998
