cty_fips,cty,pop_2020,pop_2010,pop_2000,pop_1990,pop_1980,pop_1970,pop_1960,pop_1950,pop_1940,pop_1930,pop_1920,pop_1910,pop_1900
1001,"Autauga County, Alabama",58805,54571,43671,34222,32259,24460,18739,18186,20977,19694,18908,20038,17915
1003,"Baldwin County, Alabama",231767,182265,140415,98280,78556,59382,49088,40997,32324,28289,20730,18178,13194
1005,"Barbour County, Alabama",25223,27457,29038,25417,24756,22543,24700,28892,32722,32425,32067,32728,35152
1007,"Bibb County, Alabama",22293,22915,20826,16576,15723,13812,14357,17987,20155,20780,23144,22791,18498
1009,"Blount County, Alabama",59134,57322,51024,39248,36459,26853,25449,28975,29490,28020,25538,21456,23119
1011,"Bullock County, Alabama",10357,10914,11714,11042,10596,11824,13462,16054,19810,20016,25333,30196,31944
1013,"Butler County, Alabama",19051,20947,21399,21892,21680,22007,24560,29228,32447,30195,29531,29030,25761
1015,"Calhoun County, Alabama",116441,118572,112249,116034,119761,103092,95878,79539,63319,55611,47822,39115,34874
21135,"Lewis County, Kentucky",13080,13870,14092,13029,14545,12355,13115,13520,15686,14315,15829,16887,17868
21137,"Lincoln County, Kentucky",24275,24742,23361,20045,19053,16663,16503,18668,19859,17687,16481,17897,17059
21139,"Livingston County, Kentucky",8888,9519,9804,9062,9219,7596,7029,7184,9127,8608,9732,10627,11354
21141,"Logan County, Kentucky",27432,26835,26573,24416,24138,21793,20896,22335,23345,21875,23633,24977,25994
21143,"Lyon County, Kentucky",8680,8314,8080,6624,6490,5562,5924,6853,9067,8530,8795,9423,9319
21145,"McCracken County, Kentucky",67875,65565,65514,62879,61310,58281,57306,49137,48534,46271,37246,35064,28733
21147,"McCreary County, Kentucky",16888,18306,17080,15603,15634,12548,12463,16660,16451,14627,11676,0,0
21151,"Madison County, Kentucky",92701,82916,70872,57508,53352,42730,33482,31179,28541,27621,26284,26951,25607
21155,"Marion County, Kentucky",19581,19820,18212,16499,17910,16714,16887,17212,16913,15499,15527,16330,16290
21157,"Marshall County, Kentucky",31659,31448,30125,27205,25637,20381,16736,13387,16602,12889,15215,15771,13692
21161,"Mason County, Kentucky",17120,17490,16800,16666,17765,17273,18454,18486,19066,18862,17760,18611,20446
21163,"Meade County, Kentucky",30003,28602,26349,24170,22854,18796,18938,9422,8827,8042,9442,9783,10533
21167,"Mercer County, Kentucky",22641,21331,20817,19148,19011,15960,14596,14643,14629,14471,14795,14063,14426
